name,goals_per90,assists_per90,goals_assists_pens_per90
Joseba Zaldúa,"['0.04', '0.00', None]","['0.07', '0.07', None]","['0.11', '0.07', None]"
Claudio Bravo,,,
Antonio Sanabria,"0.35,0.39,0.00","0.00,0.13,0.00","0.35,0.52,0.00"
Roberto Navarro,,,
Julen Lobete,,,
Aritz Arambarri,,,
Jérémy Blasco,,,
Urko González,,,
Martín Merquelanz,"['0.00', '0.45', None]","['0.00', '0.37', None]","['0.00', '0.68', None]"
Gerard Barri,,,
Jon Guridi,"[None, '0.08', None]","[None, '0.11', None]","[None, '0.19', None]"
Modibo Sagnan,"['0.00', None, '0.00']","['0.00', None, '0.00']","['0.00', None, '0.00']"
Miguel Ángel Moyá,,,
Víctor Rodríguez,"0.16,0.00,0.00","0.24,0.00,0.00","0.32,0.00,0.00"
Ramón Folch,"0.04,0.00,0.00","0.04,0.00,0.00","0.07,0.00,0.00"
Nino,"0.26,0.22,0.00","0.08,0.10,0.00","0.34,0.32,0.00"
Juan Sánchez Miño,"0.05,0.00,0.00","0.10,0.00,0.00","0.15,0.00,0.00"
Luismi,"['0.05', '0.00', None]","['0.11', '0.00', None]","['0.16', '0.00', None]"
Youssouf Koné,"['0.00', None, '0.00']","['0.00', None, '0.00']","['0.00', None, '0.00']"
Cifu,"0.09,0.06,0.00","0.00,0.00,0.00","0.09,0.06,0.00"
Recio,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Kévin Rodrigues,"0.00,0.05,0.32","0.00,0.09,0.00","0.00,0.14,0.32"
Papakouli Diop,"0.04,0.04,0.00","0.04,0.00,0.00","0.08,0.04,0.00"
Pedro León,"0.21,0.05,0.00","0.00,0.09,0.31","0.21,0.14,0.31"
Sergio Álvarez,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Pedro Bigas,"0.00,0.15,0.00","0.12,0.00,0.00","0.12,0.15,0.00"
Rober Correa,"0.03,0.00,0.00","0.08,0.00,0.00","0.11,0.00,0.00"
Paulo Oliveira,"0.00,0.04,0.00","0.00,0.00,0.00","0.00,0.04,0.00"
Pepe Blanco,,,
Sergi García,,,
Edu Expósito,"0.07,0.15,0.00","0.17,0.04,0.24","0.24,0.15,0.24"
Martin Agirregabiria,"0.04,0.04,0.00","0.00,0.04,0.00","0.04,0.09,0.00"
Manu García,"0.07,0.00,0.00","0.04,0.00,0.00","0.11,0.00,0.00"
Kike,"0.19,0.25,0.49","0.00,0.05,0.00","0.19,0.31,0.49"
Javi López,,,
Abdallahi Mahmoud,,,
Borja Sainz,,,
Takashi Inui,"0.22,0.09,0.00","0.00,0.14,0.00","0.22,0.23,0.00"
John Guidetti,"0.36,0.00,0.00","0.12,0.00,0.00","0.48,0.00,0.00"
José Cabrera,,,
Alejandro Baena,,,
Tomás Pina Isla,"0.08,0.07,0.00","0.00,0.00,0.00","0.08,0.07,0.00"
Rodrigo Ely,"0.00,0.08,0.53","0.00,0.00,0.00","0.00,0.08,0.53"
Dani Raba,"['0.24', '0.27', None]","['0.47', '0.07', None]","['0.71', '0.27', None]"
Gerónimo Rulli,,,
Lucas Pérez,"0.75,0.40,0.00","0.00,0.18,0.43","0.75,0.40,0.43"
Fernando Niño,"1.38,0.00","0.00,0.00","1.38,0.00"
Javier Ontiveros,"['0.24', None, '0.00']","['0.08', None, '0.00']","['0.33', None, '0.00']"
Sofian Chakla,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Jaime Seoane,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Borja García,"0.03,0.16,0.00","0.13,0.10,0.00","0.16,0.26,0.00"
Juan Carlos,"0.29,0.20,0.00","0.15,0.05,0.43","0.41,0.24,0.43"
Mikel Rico,"0.00,0.20,0.00","0.00,0.14,0.00","0.00,0.33,0.00"
Rafa Mir,"0.00,0.77,0.00","0.45,0.09,0.00","0.45,0.68,0.00"
Dimitris Siovas,"['0.00', None, '0.25']","['0.00', None, '0.00']","['0.00', None, '0.25']"
David Ferreiro,"0.04,0.03,0.00","0.12,0.30,0.23","0.16,0.34,0.23"
Shinji Okazaki,"1.00,0.44,0.00","0.00,0.00,0.00","1.00,0.44,0.00"
Jorge Pulido,"0.09,0.05,0.00","0.09,0.10,0.00","0.19,0.15,0.00"
Javi Galán,"0.00,0.05,0.00","0.12,0.05,0.00","0.12,0.10,0.00"
Son,"[None, '0.00', '0.00']","[None, '0.16', '0.00']","[None, '0.16', '0.00']"
Rober,"0.03,0.00,0.00","0.03,0.00,0.00","0.06,0.00,0.00"
Pedro Mosquera,"0.00,0.00,0.00","0.08,0.03,0.00","0.08,0.03,0.00"
Sergio León,"0.23,0.12,0.00","0.15,0.00,0.00","0.31,0.12,0.00"
Toño,"0.10,0.00,0.00","0.10,0.11,0.00","0.20,0.11,0.00"
Roger Martí,"0.62,0.43,0.95","0.00,0.04,0.95","0.52,0.32,1.89"
Nemanja Radoja,"[None, '0.04', '0.00']","[None, '0.00', '0.00']","[None, '0.04', '0.00']"
Jon Morcillo,,,
Kike Pérez,,,
Toni Villa,"0.10,0.00,0.54","0.10,0.06,0.00","0.20,0.06,0.54"
Luis Pérez,"0.00,0.00,0.00","0.00,0.11,0.00","0.00,0.11,0.00"
Waldo Rubio,"0.18,0.00,0.00","0.00,0.19,0.00","0.18,0.19,0.00"
Iker Muniain,"0.25,0.19,0.00","0.11,0.06,0.00","0.32,0.25,0.00"
Yuri Berchiche,"0.05,0.11,0.00","0.05,0.03,0.00","0.11,0.14,0.00"
Míchel,"0.04,0.04,0.45","0.07,0.08,0.00","0.11,0.08,0.45"
Javi Sánchez,"0.26,0.00,0.00","0.00,0.15,0.00","0.26,0.15,0.00"
Óscar Plano,"0.12,0.14,0.00","0.12,0.07,0.00","0.25,0.21,0.00"
Sergi Guardiola,"0.18,0.27,0.26","0.06,0.07,0.26","0.24,0.34,0.26"
Nacho,"0.03,0.00,0.00","0.08,0.09,0.25","0.11,0.09,0.25"
Bruno González,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Roberto,,,
Toni Lato,"0.00,0.19,0.00","0.00,0.00,0.00","0.00,0.19,0.00"
Alejandro Blanco,"0.00,0.29,0.00","0.00,0.10,0.00","0.00,0.39,0.00"
Denis Cheryshev,"0.16,0.22,0.00","0.20,0.15,4.50","0.36,0.37,4.50"
Eliaquim Mangala,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Uroš Račić,"0.00,0.11,0.00","0.00,0.04,0.00","0.00,0.15,0.00"
Manu Vallejo,"0.32,0.37,1.29","0.10,0.00,0.00","0.42,0.37,1.29"
Kévin Gameiro,"0.41,0.35,0.00","0.20,0.13,0.00","0.61,0.48,0.00"
Jean-Pierre Rhyner,,,
Saturday Erimuya,,,
Juan Flere,,,
Esquerdo,"0.00,0.00","0.00,0.00","0.00,0.00"
Marc Baró Ortiz,,,
Jason,"0.07,0.07,0.00","0.19,0.27,0.00","0.26,0.34,0.00"
Thierry Correia,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Gabriel Paulista,"0.00,0.02,0.50","0.02,0.02,0.00","0.02,0.05,0.50"
Arnau Tenas,,,
Jon Ander Garrido,"0.05,0.05,0.00","0.05,0.05,0.00","0.09,0.10,0.00"
Santiago Ramos,,,
Alberto Perea,"0.00,0.20,0.00","0.17,0.08,0.00","0.17,0.28,0.00"
Iñaki,,,
Joel Robles,,,
Joaquín,"0.25,0.38,0.00","0.11,0.13,0.65","0.35,0.43,0.65"
Konrad De La Fuente,,,
Riqui Puig,"['0.00', '0.00', None]","['0.47', '0.31', None]","['0.47', '0.31', None]"
Junior Firpo,"['0.12', '0.06', None]","['0.19', '0.06', None]","['0.31', '0.13', None]"
Rafinha,"['0.17', '0.00', None]","['0.08', '0.00', None]","['0.25', '0.00', None]"
Martín Zubimendi,,,
Roberto López,,,
Jon Bautista,"0.13,0.15,0.00","0.00,0.10,0.00","0.13,0.25,0.00"
Willian José,"0.38,0.47,0.00","0.17,0.04,0.00","0.38,0.51,0.00"
Igor Zubeldia,"0.03,0.00,0.00","0.03,0.03,0.00","0.06,0.03,0.00"
Diego Llorente,"['0.04', '0.00', None]","['0.04', '0.00', None]","['0.07', '0.00', None]"
Ander Barrenetxea,"0.23,0.14,0.00","0.00,0.14,0.00","0.23,0.28,0.00"
Adnan Januzaj,"0.12,0.21,0.76","0.24,0.21,0.00","0.37,0.41,0.00"
